seller_id,type,L,target,final_recovery,completed,completion_t,burden_mean,burden_months,household_violation_count,household_penalty_sum,total_reward,n_months
k_04aba032_1,stable,792.654052734375,951.1848632812499,0.6666666637672737,False,25,0.10000000149011612,21,21,21.0,-27.866666761144867,24
k_0509040e_0,stable,1057.7861022949219,1269.3433227539062,0.6666666603724101,False,25,0.10000000149011612,24,24,24.0,-31.466666807429068,24
k_0509040e_1,growth,985.1437683105469,1182.172521972656,0.6666667024156008,False,25,0.10000000149011612,24,24,24.0,-31.46666634495396,24
k_054694fa_0,stable,1439.8334655761719,1727.8001586914063,0.6666666624706313,False,25,0.09912963385929989,17,17,17.0,-23.037074264039248,24
k_054694fa_1,stable,1385.3874206542969,1662.4649047851562,0.6666666509012181,False,25,0.10000000149011612,19,19,19.0,-25.46666689671102,24
k_058cb5ae_0,stable,701.0059204101562,841.2071044921875,0.6666666729729424,False,25,0.10000000149011612,17,17,17.0,-23.066666647961583,24
k_058cb5ae_1,stable,683.0088958740234,819.610675048828,0.6666666980104609,False,25,0.10000000149011612,18,18,18.0,-24.266666375529113,24
k_05d2173d_0,stable,2314.6920776367188,2777.6304931640625,0.6666666441893871,False,25,0.09966580997955506,24,24,24.0,-31.45062579293538,24
k_05d2173d_1,stable,1404.7297668457031,1685.6757202148438,0.6666666412978522,False,25,0.10000000149011612,24,24,24.0,-31.466667017249208,24
k_05ff92fe_0,stable,2427.5857543945312,2913.1029052734375,0.6666667090762811,False,25,0.09622398067445458,19,19,19.0,-25.32317746579018,24
k_05ff92fe_1,stable,3273.3226318359375,3927.9871582031246,0.6666666999085733,False,25,0.09116688494577715,20,20,20.0,-26.31334169883678,24
k_06579cb2_0,stable,1690.6378784179688,2028.7654541015625,0.666666730753551,False,25,0.10000000149011612,24,24,24.0,-31.466666033236518,24
k_06579cb2_1,stable,1954.521240234375,2345.4254882812497,0.6666666766007742,False,25,0.10000000149011612,24,24,24.0,-31.46666662891706,24
k_066a6914_0,stable,1769.0308227539062,2122.836987304687,0.666666691695413,False,25,0.0986931894561282,22,22,22.0,-29.0091667274201,24
k_066a6914_1,stable,1578.9929809570312,1894.7915771484375,0.6666666516364206,False,25,0.098904021511122,20,20,20.0,-26.622827692444258,24
k_06e5eefc_0,growth,6867.7646484375,8241.317578125,0.6666666906721648,False,25,0.06248354918417276,24,24,24.0,-29.665876763446484,24
k_06e5eefc_1,growth,7252.679443359375,8703.21533203125,0.6666667306004389,False,25,0.05723974077974658,23,23,23.0,-28.299694039263514,24
k_07017df3_0,volatile,114.1702880859375,137.00434570312498,0.6666666647672346,False,25,0.10000000149011612,7,7,7.0,-11.066666708422044,24
k_07017df3_1,other,186.52426528930664,223.82911834716796,0.666666662966454,False,25,0.10000000149011612,9,9,9.0,-13.466666734191096,24
k_070d1653_0,stable,1852.436279296875,2222.9235351562497,0.6666666738550586,False,25,0.09905417591191598,23,23,23.0,-30.223158679542493,24
k_070d1653_1,stable,1310.8640441894531,1573.0368530273438,0.6666666183995085,False,25,0.10000000149011612,21,21,21.0,-27.866667260190283,24
k_0725b8c0_0,stable,658.6029052734375,790.323486328125,0.6666666992865196,False,25,0.10000000149011612,18,18,18.0,-24.26666636149247,24
k_0725b8c0_1,seasonal,316.49576568603516,379.7949188232422,0.666666658019193,False,25,0.10000000149011612,16,16,16.0,-21.86666680947259,24
k_07bf9669_0,stable,606.5378265380859,727.8453918457031,0.6666666493471481,False,25,0.10000000149011612,19,19,19.0,-25.466666913805785,24
k_07bf9669_1,stable,727.4550933837891,872.9461120605469,0.6666666530032517,False,25,0.10000000149011612,21,21,21.0,-27.8666668795491,24
k_080102cd_0,stable,2732.8681640625,3279.441796875,0.666666726851681,False,25,0.09755231111346588,22,22,22.0,-28.958967693624004,24
k_080102cd_1,growth,4062.7943115234375,4875.353173828124,0.6666666822343805,False,25,0.0834680354010363,24,24,24.0,-30.67313219467156,24
k_080199a1_0,stable,3123.6170654296875,3748.340478515625,0.6666667221938682,False,25,0.0965250740502317,24,24,24.0,-31.29986961027857,24
k_080199a1_1,stable,3141.4281005859375,3769.7137207031246,0.6666667008871637,False,25,0.09972574659326598,24,24,24.0,-31.453502126717964,24
k_08d0949a_0,stable,170.28814315795898,204.34577178955078,0.6666666439320271,False,25,0.10000000149011612,17,17,17.0,-23.066666967411642,24
k_08d0949a_1,stable,220.7186508178711,264.8623809814453,0.6666666737202613,False,25,0.10000000149011612,17,17,17.0,-23.066666639741076,24
k_09f952a5_0,growth,4089.3980712890625,4907.277685546875,0.6666666380439613,False,25,0.09166480737022205,24,24,24.0,-31.066577735287087,24
k_09f952a5_1,growth,3565.2615966796875,4278.313916015625,0.66666667374754,False,25,0.09455708780947379,24,24,24.0,-31.205406803631803,24
k_0ac4201f_0,stable,729.8884735107422,875.8661682128906,0.6666666896668023,False,25,0.10000000149011612,19,19,19.0,-25.466666470289585,24
k_0ac4201f_1,decline,772.39013671875,926.8681640625,0.6666667294873253,False,25,0.09972878605107516,17,17,17.0,-23.057444701375978,24
k_0adac9fb_0,stable,2376.3535766601562,2851.6242919921874,0.6666665925914632,False,25,0.09659901052117091,22,22,22.0,-28.917023944425424,24
k_0adac9fb_1,stable,3250.7010498046875,3900.8412597656247,0.6666666922474394,False,25,0.09581780655100541,24,24,24.0,-31.265921099726427,24
k_0afccdb8_0,stable,291.7881088256836,350.1457305908203,0.6666667087398412,False,25,0.10000000149011612,19,19,19.0,-25.466666260486157,24
k_0afccdb8_1,stable,341.55306243896484,409.8636749267578,0.666666690096264,False,25,0.10000000149011612,21,21,21.0,-27.866666471525974,24
k_0b18d63d_0,decline,468.1134796142578,561.7361755371094,0.6666666766007742,False,25,0.10000000149011612,14,14,14.0,-19.46666659911474,24
k_0b18d63d_1,other,430.4857635498047,516.5829162597656,0.6666666618318098,False,25,0.10000000149011612,14,14,14.0,-19.466666761573343,24
k_0bae85eb_0,stable,1869.7007446289062,2243.6408935546874,0.6666666561980582,False,25,0.10000000149011612,24,24,24.0,-31.466666853346933,24
k_0bae85eb_1,stable,1575.0111694335938,1890.0134033203124,0.6666666604540217,False,25,0.10000000149011612,24,24,24.0,-31.466666806531336,24
k_0bb738e4_0,stable,1265.9790344238281,1519.1748413085936,0.6666666444595588,False,25,0.09946507490157623,23,23,23.0,-30.242060356417362,24
k_0bb738e4_1,stable,805.5437622070312,966.6525146484374,0.6666666742329963,False,25,0.10000000149011612,19,19,19.0,-25.46666664006145,24
k_0be8ff43_0,stable,2755.3676147460938,3306.4411376953126,0.6666666789082081,False,25,0.09778618928914877,24,24,24.0,-31.36040361788885,24
k_0be8ff43_1,stable,3160.3289794921875,3792.394775390625,0.6666667160313039,False,25,0.0951511338453489,24,24,24.0,-31.233920548232405,24
k_0bf0150d_0,stable,1405.34619140625,1686.4154296875,0.6666667363179752,False,25,0.10000000149011612,23,23,23.0,-30.266665969047615,24
k_0bf0150d_1,stable,1732.8400268554688,2079.408032226562,0.6666667059529534,False,25,0.10000000149011612,22,22,22.0,-29.066666300082627,24
k_0c7533c7_0,stable,1395.5357666015625,1674.6429199218749,0.666666694824109,False,25,0.10000000149011612,24,24,24.0,-31.466666428460364,24
k_0c7533c7_1,stable,995.4522399902344,1194.5426879882812,0.6666666906518989,False,25,0.10000000149011612,21,21,21.0,-27.866666465413992,24
k_0c8380b6_0,stable,2452.018798828125,2942.4225585937497,0.666666683860882,False,25,0.09744691828679572,22,22,22.0,-28.954330882149314,24
k_0c8380b6_1,stable,2425.0556030273438,2910.066723632812,0.6666666891850541,False,25,0.09966764353771988,21,21,21.0,-27.85270744754864,24
k_0cbcee27_0,stable,1210.5076904296875,1452.6092285156249,0.6666666934078151,False,25,0.10000000149011612,22,22,22.0,-29.066666438079142,24
k_0cbcee27_1,stable,1271.8818054199219,1526.2581665039063,0.6666666798499665,False,25,0.10000000149011612,22,22,22.0,-29.066666587215476,24
k_0d85bbda_0,stable,1952.7881469726562,2343.345776367187,0.6666666961353936,False,25,0.10000000149011612,23,23,23.0,-30.266666411056015,24
k_0d85bbda_1,stable,1490.3383483886719,1788.4060180664062,0.6666667056097817,False,25,0.10000000149011612,22,22,22.0,-29.06666630385751,24
k_0db783cf_0,growth,2199.7747192382812,2639.7296630859373,0.6666666569472905,False,25,0.10000000149011612,24,24,24.0,-31.46666684510538,24
k_0db783cf_1,stable,1844.958251953125,2213.9499023437497,0.6666666552352289,False,25,0.10000000149011612,23,23,23.0,-30.26666686095782,24
k_0df3984f_0,stable,2490.6117553710938,2988.7341064453126,0.6666667036595824,False,25,0.09883207514282284,24,24,24.0,-31.410605866600097,24
k_0df3984f_1,stable,1995.8421020507812,2395.0105224609374,0.6666667141901108,False,25,0.10000000149011612,24,24,24.0,-31.46666621543435,24
k_0ea22c1c_0,stable,2098.1303100585938,2517.7563720703124,0.6666667444780485,False,25,0.10000000149011612,24,24,24.0,-31.466665882267037,24
k_0ea22c1c_1,stable,1966.61279296875,2359.9353515625,0.6666667360858195,False,25,0.10000000149011612,23,23,23.0,-30.266665971601327,24
k_0eaa7e33_0,stable,493.62538146972656,592.3504577636719,0.6666666508410417,False,25,0.10000000149011612,22,22,22.0,-29.066666906313653,24
k_0eaa7e33_1,stable,445.95506286621094,535.146075439453,0.6666666423847947,False,25,0.10000000149011612,18,18,18.0,-24.266666987411437,24
k_0ebd97a1_0,stable,1095.9697265625,1315.1636718749999,0.6666666905234118,False,25,0.10000000149011612,23,23,23.0,-30.26666647278782,24
k_0ebd97a1_1,stable,1042.0855407714844,1250.5026489257812,0.6666666888028989,False,25,0.10000000149011612,21,21,21.0,-27.866666485752994,24
k_0ff83046_0,stable,555.2024688720703,666.2429626464843,0.6666666811813221,False,25,0.10000000149011612,19,19,19.0,-25.466666563629868,24
k_0ff83046_1,stable,268.4585494995117,322.15025939941404,0.6666666837055905,False,25,0.10000000149011612,17,17,17.0,-23.066666529902456,24
k_10076e57_0,stable,402.71282958984375,483.25539550781247,0.6666667002820245,False,25,0.10000000149011612,20,20,20.0,-26.666666356502382,24
k_10076e57_1,stable,475.17127990722656,570.2055358886719,0.6666666766007742,False,25,0.10000000149011612,22,22,22.0,-29.06666662295659,24
k_1025f0e2_0,growth,18868.06201171875,22641.674414062498,0.6666667542369284,False,25,0.02175555486995631,24,24,24.0,-27.71093233715169,24
k_1025f0e2_1,growth,18641.05810546875,22369.2697265625,0.6666666711437201,False,25,0.023152300867218815,24,24,24.0,-27.777977059045583,24
k_1127b7f2_0,stable,1872.7597045898438,2247.3116455078125,0.6666666745638351,False,25,0.10000000149011612,24,24,24.0,-31.466666651323393,24
k_1127b7f2_1,stable,1752.267333984375,2102.72080078125,0.6666667085302023,False,25,0.09961559698815181,24,24,24.0,-31.448214861599055,24
k_11305281_0,other,919.8002014160156,1103.7602416992188,0.666666610243801,False,25,0.10000000149011612,16,16,16.0,-21.866667335001907,24
k_11305281_1,stable,1276.7412414550781,1532.0894897460937,0.6666666945278084,False,25,0.10000000149011612,19,19,19.0,-25.466666416818516,24
k_113e3a78_0,stable,540.7950439453125,648.954052734375,0.6666666813033534,False,25,0.10000000149011612,22,22,22.0,-29.066666571228218,24
k_113e3a78_1,stable,448.62025451660156,538.3443054199219,0.666666719116658,False,25,0.10000000149011612,21,21,21.0,-27.86666615230164,24
k_11bfa663_0,stable,1811.6716918945312,2174.0060302734373,0.6666667201169799,False,25,0.10000000149011612,24,24,24.0,-31.466666150238794,24
k_11bfa663_1,stable,1572.3169555664062,1886.7803466796875,0.666666628886234,False,25,0.10000000149011612,24,24,24.0,-31.466667153777003,24
k_12863947_0,stable,2481.5945434570312,2977.9134521484375,0.666666684799153,False,25,0.09928423201591319,24,24,24.0,-31.432309603973152,24
k_12863947_1,stable,1939.1779174804688,2327.013500976562,0.6666666543061535,False,25,0.10000000149011612,24,24,24.0,-31.46666687415789,24
k_12b9676b_0,stable,3856.07080078125,4627.2849609375,0.6666666897910483,False,25,0.09341545271118462,24,24,24.0,-31.150608142435335,24
k_12b9676b_1,stable,4817.0906982421875,5780.508837890625,0.6666667167241619,False,25,0.081967750332518,24,24,24.0,-30.60111813199508,24
k_1336efc6_0,stable,1042.289794921875,1250.74775390625,0.666666665621014,False,25,0.10000000149011612,22,22,22.0,-29.066666743733947,24
k_1336efc6_1,stable,1441.8457946777344,1730.2149536132813,0.6666666986483082,False,25,0.10000000149011612,24,24,24.0,-31.466666386394195,24
k_1354d516_0,stable,808.9259033203125,970.7110839843749,0.6666666860322865,False,25,0.10000000149011612,22,22,22.0,-29.06666651920996,24
k_1354d516_1,stable,917.3266296386719,1100.7919555664062,0.666666725116538,False,25,0.10000000149011612,22,22,22.0,-29.066666089283192,24
k_13d058e4_0,stable,1090.9715881347656,1309.1659057617187,0.6666666317276695,False,25,0.10000000149011612,18,18,18.0,-24.266667104639822,24
k_13d058e4_1,stable,1022.7942810058594,1227.3531372070313,0.66666673378923,False,25,0.10000000149011612,20,20,20.0,-26.66666598792311,24
k_1430239a_0,stable,455.1847686767578,546.2217224121093,0.6666666975521416,False,25,0.10000000149011612,20,20,20.0,-26.666666386531087,24
k_1430239a_1,stable,374.5111770629883,449.4134124755859,0.6666666935771136,False,25,0.10000000149011612,17,17,17.0,-23.066666421315702,24
k_1464afc7_0,stable,521.8152923583984,626.1783508300781,0.6666666583246841,False,25,0.10000000149011612,21,21,21.0,-27.866666821013354,24
k_1464afc7_1,stable,499.58555603027344,599.5026672363281,0.6666666931448424,False,25,0.10000000149011612,21,21,21.0,-27.866666437991604,24
k_14d79857_0,stable,1062.8478698730469,1275.4174438476562,0.6666667280449459,False,25,0.10000000149011612,21,21,21.0,-27.866666054090466,24
k_14d79857_1,stable,1221.1701965332031,1465.4042358398438,0.6666666339087752,False,25,0.10000000149011612,23,23,23.0,-30.266667095548815,24
k_1554a685_0,stable,4508.9384765625,5410.726171875,0.6666666811129343,False,25,0.08224252108195182,23,23,23.0,-29.449822477527512,24
k_1554a685_1,growth,3986.2232666015625,4783.467919921874,0.6666666306661992,False,25,0.0881671613908097,23,23,23.0,-29.72235648664906,24
k_16090f2c_0,growth,4772.2247314453125,5726.669677734375,0.6666666851272177,False,25,0.08152401817048312,24,24,24.0,-30.5798193357838,24
k_16090f2c_1,growth,5446.62890625,6535.9546875,0.666666678468448,False,25,0.0738332675823605,24,24,24.0,-30.210663380800376,24
k_165fc07b_0,stable,1730.618408203125,2076.74208984375,0.6666666806418797,False,25,0.09768367885276166,17,17,17.0,-22.98791159393322,24
k_165fc07b_1,stable,2103.6696166992188,2524.4035400390626,0.6666667427881884,False,25,0.09465614866122397,18,18,18.0,-24.074287181133993,24
k_1660ad78_0,stable,552.4096527099609,662.8915832519531,0.6666666705584102,False,25,0.10000000149011612,17,17,17.0,-23.066666674521436,24
k_1660ad78_1,stable,637.4848480224609,764.9818176269531,0.6666667304566046,False,25,0.10000000149011612,16,16,16.0,-21.866666012661064,24
k_17306570_0,stable,1742.8364868164062,2091.4037841796876,0.6666666444985692,False,25,0.09998167482804872,19,19,19.0,-25.46597055398159,24
k_17306570_1,stable,1952.2179565429688,2342.6615478515623,0.6666666472902868,False,25,0.10000000149011612,22,22,22.0,-29.066666945371956,24
k_1771297a_0,decline,341.59698486328125,409.9163818359375,0.6666666924210384,False,25,0.10000000149011612,15,15,15.0,-20.666666428072062,24
k_1771297a_1,stable,383.0281448364258,459.63377380371094,0.6666666234844362,False,25,0.10000000149011612,17,17,17.0,-23.066667192335153,24
k_1782ce2d_0,stable,723.4403686523438,868.1284423828125,0.6666666660547844,False,25,0.10000000149011612,16,16,16.0,-21.866666721081085,24
k_1782ce2d_1,seasonal,436.05450439453125,523.2654052734375,0.6666666634784558,False,25,0.10000000149011612,13,13,13.0,-18.266666740480005,24
k_17908cf9_0,seasonal,649.597412109375,779.5168945312499,0.6666666276640886,False,25,0.10000000149011612,15,15,15.0,-20.66666714039851,24
k_17908cf9_1,stable,765.5567779541016,918.6681335449218,0.6666666483643079,False,25,0.10000000149011612,17,17,17.0,-23.06666691865656,24
k_17a053fc_0,growth,7717.667724609375,9261.20126953125,0.6666666871454378,False,25,0.05260067334232254,24,24,24.0,-29.191498761831667,24
k_17a053fc_1,stable,6289.776123046875,7547.731347656249,0.6666666539584155,False,25,0.06413175063799657,24,24,24.0,-29.74499083708126,24
k_17ca9b9e_0,stable,2779.4716186523438,3335.3659423828126,0.6666667113696123,False,25,0.09833170815144833,24,24,24.0,-31.386588166203783,24
k_17ca9b9e_1,stable,2753.5751953125,3304.2902343749997,0.6666667098494524,False,25,0.0983976170032359,24,24,24.0,-31.389751807811347,24
k_17e34d82_0,stable,4971.39111328125,5965.669335937499,0.6666666832509672,False,25,0.07829118505208428,24,24,24.0,-30.424643366739407,24
k_17e34d82_1,stable,6155.94140625,7387.1296875,0.6666667055190495,False,25,0.06636105409061598,24,24,24.0,-29.851996835640023,24
k_17f51e71_0,stable,5347.3253173828125,6416.790380859375,0.6666666423583332,False,25,0.07512671832694051,24,24,24.0,-30.272749413751477,24
k_17f51e71_1,stable,4535.6396484375,5442.767578125,0.6666666541727883,False,25,0.08523856964380634,24,24,24.0,-30.758118147002037,24
k_1835b56c_0,stable,5761.1484375,6913.378125,0.6666666200980053,False,25,0.06782882137722564,24,24,24.0,-29.922450605028768,24
k_1835b56c_1,stable,6151.3828125,7381.659374999999,0.6666666269898501,False,25,0.06374101081872548,24,24,24.0,-29.726235622410474,24
k_1838dd9b_0,stable,997.8150329589844,1197.3780395507813,0.6666667148312797,False,25,0.10000000149011612,23,23,23.0,-30.26666620540127,24
k_1838dd9b_1,stable,1294.4006652832031,1553.2807983398436,0.6666666903537962,False,25,0.10000000149011612,23,23,23.0,-30.266666474653583,24
k_184a67a8_0,seasonal,179.73132705688477,215.6775924682617,0.6666666421110541,False,25,0.10000000149011612,15,15,15.0,-20.66666698148189,24
k_184a67a8_1,other,166.61761093139648,199.94113311767578,0.6666666737389088,False,25,0.10000000149011612,16,16,16.0,-21.86666663655572,24
k_18a349e7_0,growth,2647.5439453125,3177.052734375,0.6666667131021509,False,25,0.09821113079504595,24,24,24.0,-31.38080043403854,24
k_18a349e7_1,stable,2052.462158203125,2462.95458984375,0.6666666753617103,False,25,0.09723161430222797,24,24,24.0,-31.333784057528128,24
k_1900267e_0,stable,4808.7703857421875,5770.524462890625,0.66666664910043,False,25,0.08142097281177431,24,24,24.0,-30.57487355486044,24
k_1900267e_1,stable,4297.1553955078125,5156.586474609375,0.6666666931716627,False,25,0.088979710868455,24,24,24.0,-30.937692496797546,24
k_1a3df491_0,stable,2933.5479125976562,3520.2574951171873,0.6666666401904178,False,25,0.09971035356009395,24,24,24.0,-31.45276392878991,24
k_1a3df491_1,stable,4045.47802734375,4854.573632812499,0.6666666891734864,False,25,0.08994532046292796,24,24,24.0,-30.984041801312184,24
k_1b4c3a6f_0,stable,2724.6337280273438,3269.5604736328123,0.6666666710004657,False,25,0.0992787240712604,23,23,23.0,-30.233487926272858,24
k_1b4c3a6f_1,stable,2273.3886108398438,2728.0663330078123,0.6666667090416928,False,25,0.10000000149011612,24,24,24.0,-31.466666272066952,24
k_1b7e5006_0,decline,932.8076477050781,1119.3691772460936,0.6666666525750848,False,25,0.09955270019999918,14,14,14.0,-19.454142427274043,24
k_1b7e5006_1,stable,730.1717376708984,876.2060852050781,0.6666666208740147,False,25,0.10000000149011612,18,18,18.0,-24.26666722403002,24
k_1b938a7e_0,stable,1589.3681030273438,1907.2417236328124,0.6666667014021647,False,25,0.10000000149011612,23,23,23.0,-30.266666353121533,24
k_1b938a7e_1,stable,1464.5739440917969,1757.4887329101562,0.6666667130658245,False,25,0.10000000149011612,22,22,22.0,-29.066666221841047,24
k_1bb2bdb9_0,growth,1669.8781127929688,2003.8537353515624,0.6666666963990516,False,25,0.10000000149011612,23,23,23.0,-30.26666640815578,24
k_1bb2bdb9_1,stable,1900.5140991210938,2280.6169189453126,0.6666666618813637,False,25,0.10000000149011612,22,22,22.0,-29.06666678487011,24
k_1c5e4e49_0,stable,1608.0049438476562,1929.6059326171874,0.6666666829269526,False,25,0.10000000149011612,21,21,21.0,-27.866666550388402,24
k_1c5e4e49_1,stable,1784.0132446289062,2140.8158935546876,0.6666666502288098,False,25,0.09951829531505897,17,17,17.0,-23.050288888195094,24
k_1c68394e_0,stable,4166.3280029296875,4999.593603515625,0.6666666631719481,False,25,0.08676192957835938,24,24,24.0,-30.83123932486982,24
k_1c68394e_1,stable,4000.9764404296875,4801.171728515625,0.6666666854995623,False,25,0.08141100251920916,20,20,20.0,-25.92310656027318,24
k_1caf2832_0,stable,499.3743438720703,599.2492126464844,0.6666666396791663,False,25,0.10000000149011612,22,22,22.0,-29.066667029094283,24
k_1caf2832_1,stable,434.9248809814453,521.9098571777344,0.6666666429788614,False,25,0.10000000149011612,21,21,21.0,-27.866666989817404,24
k_1ce3ae5a_0,stable,1134.2361145019531,1361.0833374023437,0.6666665992464762,False,25,0.10000000149011612,24,24,24.0,-31.466667479814337,24
k_1ce3ae5a_1,stable,959.1314392089844,1150.9577270507812,0.6666666408056011,False,25,0.10000000149011612,24,24,24.0,-31.466667022663966,24
k_1d2732ef_0,decline,203.04627227783203,243.65552673339843,0.6666667149582396,False,25,0.10000000149011612,14,14,14.0,-19.466666177182617,24
k_1d2732ef_1,seasonal,437.6959991455078,525.2351989746094,0.6666666873134578,False,25,0.10000000149011612,14,14,14.0,-19.46666648127522,24
k_1d29dfba_0,stable,445.095703125,534.11484375,0.6666666751723558,False,25,0.10000000149011612,18,18,18.0,-24.26666662674827,24
k_1d29dfba_1,stable,433.03440856933594,519.6412902832031,0.6666666567800189,False,25,0.10000000149011612,20,20,20.0,-26.666666835024436,24
k_1d8dbc4f_0,stable,2573.600830078125,3088.3209960937497,0.6666666884587042,False,25,0.10000000149011612,24,24,24.0,-31.466666498479825,24
k_1d8dbc4f_1,stable,2661.1525268554688,3193.3830322265626,0.6666666995363844,False,25,0.10000000149011612,24,24,24.0,-31.466666376625344,24
k_1da3aeb7_0,stable,1901.9675903320312,2282.3611083984374,0.6666666404989225,False,25,0.10000000149011612,24,24,24.0,-31.466667026037427,24
k_1da3aeb7_1,stable,1692.0514526367188,2030.4617431640625,0.6666666976425939,False,25,0.10000000149011612,24,24,24.0,-31.466666397457043,24
k_1eade46f_0,stable,1675.8262939453125,2010.9915527343749,0.6666666887410851,False,25,0.0991966697846641,23,23,23.0,-30.22971323394261,24
k_1eade46f_1,stable,1752.3526611328125,2102.8231933593747,0.6666666751495073,False,25,0.09840836325846178,23,23,23.0,-30.193451283244663,24
k_1f1bb1f0_0,stable,2940.2620239257812,3528.3144287109376,0.6666666368138264,False,25,0.09820108663549065,23,23,23.0,-30.183916980280486,24
k_1f1bb1f0_1,stable,2344.4522094726562,2813.3426513671875,0.6666666722617963,False,25,0.09989351750044459,20,20,20.0,-26.66240730513802,24
k_1f50f920_0,stable,6805.701416015625,8166.841699218749,0.6666666736113611,False,25,0.06258659054173231,24,24,24.0,-29.670822936278178,24
k_1f50f920_1,stable,10753.229736328125,12903.87568359375,0.6666666860607471,False,25,0.03735185937924561,24,24,24.0,-28.459555703535578,24
k_1f7fd2a6_0,volatile,163.35412216186523,196.0249465942383,0.6666667106562372,False,25,0.10000000149011612,9,9,9.0,-13.466666209603481,24
k_1f7fd2a6_1,seasonal,208.38562774658203,250.06275329589843,0.6666666704987901,False,25,0.10000000149011612,11,11,11.0,-15.866666657295866,24
k_1f9ab470_0,growth,3059.81396484375,3671.7767578125,0.6666666803409008,False,25,0.095960641964563,24,24,24.0,-31.272777330549115,24
k_1f9ab470_1,stable,3190.37548828125,3828.4505859375,0.6666666702237654,False,25,0.0974432341421921,24,24,24.0,-31.3439418663638,24
k_2089a6d6_0,stable,1763.8740234375,2116.648828125,0.6666666787634555,False,25,0.10000000149011612,24,24,24.0,-31.466666605127557,24
