seller_id,type,cv,R_mean,R_p10,kosis_category,m_i_uniform,m_i_category,Uniform_m_i_0.10_eligible,Uniform_m_i_0.10_L_star,Uniform_m_i_0.10_cap_star,Uniform_m_i_0.10_reject_reason,Category_m_i_eligible,Category_m_i_L_star,Category_m_i_cap_star,Category_m_i_reject_reason
k_0432ead4_0,stable,0.6764411765505375,385.5595032601813,149.56873914682703,아동·유아용품,0.1,0.15,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0432ead4_1,stable,0.6440995191385072,321.5183976717705,134.08994799429553,아동·유아용품,0.1,0.15,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_048c2757_0,stable,0.27376058340909815,620.4587691584936,494.0772196379723,신발,0.1,0.12,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_048c2757_1,growth,0.24549846997413924,704.3474846834355,484.8380477309665,신발,0.1,0.12,False,0.0,1.1,가계비 충당 불가,False,0.0,1.1,가계비 충당 불가
k_04aba032_0,other,0.4989914254122096,327.0434546785623,241.13801522857165,화장품,0.1,0.2,False,0.0,1.1500000000000001,가계비 충당 불가,False,0.0,1.1500000000000001,가계비 충당 불가
k_04aba032_1,decline,0.5325050178650689,291.7652221763586,204.97588268837467,화장품,0.1,0.2,False,0.0,1.25,가계비 충당 불가,False,0.0,1.25,가계비 충당 불가
k_0509040e_0,stable,0.32832574724504837,448.7945604136712,267.10237817340817,스포츠·레저용품,0.1,0.12,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0509040e_1,stable,0.25584583807800937,419.7552223056323,289.66580827948286,스포츠·레저용품,0.1,0.12,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_054694fa_0,stable,0.5135530096839583,539.2295993442956,281.0620937059756,가전·전자,0.1,0.05,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_054694fa_1,stable,0.5231314329365423,466.8076907406241,249.21334288469475,가전·전자,0.1,0.05,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_058cb5ae_0,decline,0.5182111620060776,282.6164773045219,185.4857254153514,가방,0.1,0.12,False,0.0,1.25,가계비 충당 불가,False,0.0,1.25,가계비 충당 불가
k_058cb5ae_1,other,0.6146511695213993,316.7565766182402,104.52431940477939,가방,0.1,0.12,False,0.0,1.1500000000000001,가계비 충당 불가,False,0.0,1.1500000000000001,가계비 충당 불가
k_05d2173d_0,stable,0.5701555527430004,517.8869058966189,295.11127859400113,자동차 및 자동차용품,0.1,0.08,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_05d2173d_1,stable,0.6335961658474925,575.2909998151076,251.3052143064234,자동차 및 자동차용품,0.1,0.08,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_06579cb2_0,stable,0.1688246724342,528.3727554233847,404.06068263173984,생활용품,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_06579cb2_1,stable,0.20226440391466324,535.5188504848841,420.55697817392286,생활용품,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_066a6914_0,stable,0.5393475753015391,503.1927702308119,200.11390541724305,스포츠·레저용품,0.1,0.12,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_066a6914_1,stable,0.41347527255684585,723.5325826676861,442.4312165697139,스포츠·레저용품,0.1,0.12,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_06e5eefc_0,growth,0.5734953107750766,1662.3241950669283,684.5534086613513,컴퓨터 및 주변기기,0.1,0.06,False,0.0,1.1,가계비 충당 불가,False,0.0,1.1,가계비 충당 불가
k_06e5eefc_1,growth,0.6027382092290828,2267.8036355751137,748.2285134812923,컴퓨터 및 주변기기,0.1,0.06,False,0.0,1.1,가계비 충당 불가,False,0.0,1.1,가계비 충당 불가
k_07017df3_0,other,0.5561022012928297,149.68777264006056,93.54737452274435,통신기기,0.1,0.05,False,0.0,1.1500000000000001,가계비 충당 불가,False,0.0,1.1500000000000001,가계비 충당 불가
k_07017df3_1,volatile,0.7601511767945676,124.89152136246022,9.311731528265714,통신기기,0.1,0.05,False,0.0,1.3,가계비 충당 불가,False,0.0,1.3,가계비 충당 불가
k_070d1653_0,stable,0.38005241583616506,461.7876168856512,305.06730821764256,애완용품,0.1,0.12,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_070d1653_1,growth,0.29634192107127505,545.9487975349947,388.6692682114769,애완용품,0.1,0.12,False,0.0,1.1,가계비 충당 불가,False,0.0,1.1,가계비 충당 불가
k_0725b8c0_0,seasonal,0.561185979080135,380.09804108225876,222.01379059090965,생활용품,0.1,0.1,False,0.0,1.2000000000000002,가계비 충당 불가,False,0.0,1.2000000000000002,가계비 충당 불가
k_0725b8c0_1,seasonal,0.7204738448521092,338.0114530669176,109.54157357875789,생활용품,0.1,0.1,False,0.0,1.2000000000000002,가계비 충당 불가,False,0.0,1.2000000000000002,가계비 충당 불가
k_07bf9669_0,stable,0.5773933271532146,239.91256369199021,75.15017286346884,가구,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_07bf9669_1,stable,0.5290498372523867,323.22070566423713,158.1995269717176,가구,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_080102cd_0,growth,0.47416213775824134,1444.2573650312195,821.9172097219828,컴퓨터 및 주변기기,0.1,0.06,False,0.0,1.1,가계비 충당 불가,False,0.0,1.1,가계비 충당 불가
k_080102cd_1,stable,0.39375306754999884,1098.554859120941,680.2454121628871,컴퓨터 및 주변기기,0.1,0.06,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_080199a1_0,stable,0.26465327578850845,1090.2163386640552,732.0974916378098,자동차 및 자동차용품,0.1,0.08,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_080199a1_1,stable,0.2353395494396498,1364.1824865852511,928.3712424776492,자동차 및 자동차용품,0.1,0.08,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_08d0949a_0,stable,0.47441625327727627,87.90549891795158,60.03207663479696,가구,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_08d0949a_1,stable,0.4710757956859264,115.61368376396688,64.42411009813056,가구,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_09f952a5_0,stable,0.1926338940760534,1207.4579343463188,925.8965401193469,가구,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_09f952a5_1,growth,0.19777235164866194,1299.1805793447904,995.7667195211001,가구,0.1,0.1,False,0.0,1.1,가계비 충당 불가,False,0.0,1.1,가계비 충당 불가
k_0ac4201f_0,stable,0.5642517826674716,300.1936038658292,110.99995419298254,화장품,0.1,0.2,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0ac4201f_1,seasonal,0.8498611256098259,598.0163842058461,274.6170352406145,화장품,0.1,0.2,False,0.0,1.2000000000000002,가계비 충당 불가,False,0.0,1.2000000000000002,가계비 충당 불가
k_0adac9fb_0,stable,0.6681789114907569,1006.2448614067252,624.8601744236913,생활용품,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0adac9fb_1,stable,0.499868828613657,703.6030017177081,415.3664688758648,생활용품,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0afccdb8_0,stable,0.5248175465139633,164.25380639757265,82.75963919746691,통신기기,0.1,0.05,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0afccdb8_1,stable,0.5266893547410266,147.31403610813612,87.09263420095816,통신기기,0.1,0.05,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0b18d63d_0,other,0.6777014037589939,286.4587849910101,124.68779538215317,자동차 및 자동차용품,0.1,0.08,False,0.0,1.1500000000000001,가계비 충당 불가,False,0.0,1.1500000000000001,가계비 충당 불가
k_0b18d63d_1,other,0.5923631861021774,230.6753114885109,75.17088961319608,자동차 및 자동차용품,0.1,0.08,False,0.0,1.1500000000000001,가계비 충당 불가,False,0.0,1.1500000000000001,가계비 충당 불가
k_0bae85eb_0,stable,0.15481192153478615,716.6828088696917,558.1333028368147,생활용품,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0bae85eb_1,stable,0.19208473236355686,614.0174060385583,498.5586346545736,생활용품,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0be8ff43_0,stable,0.39793744877743914,908.5820512580085,656.1385046185353,스포츠·레저용품,0.1,0.12,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0be8ff43_1,stable,0.25198763784840533,833.3150683697373,644.9068490418073,스포츠·레저용품,0.1,0.12,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0bf0150d_0,stable,0.32602299426294096,479.87762435939237,321.8008775134705,가구,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0bf0150d_1,stable,0.478486904796308,555.2901500679942,376.3890870587373,가구,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0c7533c7_0,stable,0.30437302577061803,450.42209066239775,340.0396620964857,화장품,0.1,0.2,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0c7533c7_1,stable,0.25041575932467447,452.218962938901,338.9176652120937,화장품,0.1,0.2,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0c8380b6_0,stable,0.5581070223221157,574.0442034094525,273.7083774330184,생활용품,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0c8380b6_1,stable,0.667578641042335,668.927281853411,256.9731179302865,생활용품,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0cbcee27_0,stable,0.4358038849768538,529.9375684867161,334.81200037048944,가방,0.1,0.12,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0cbcee27_1,stable,0.36123680683700227,492.7663993648091,364.8829603475924,가방,0.1,0.12,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0d85bbda_0,stable,0.3022483342651158,640.3017579891596,394.30580532367827,사무·문구,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0d85bbda_1,stable,0.2756513318696308,613.7953821792747,431.22274362317654,사무·문구,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0db783cf_0,stable,0.3230626276305452,706.6665201719458,444.19482890168723,통신기기,0.1,0.05,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0db783cf_1,stable,0.4582630370341179,645.8210082709525,365.113613517542,통신기기,0.1,0.05,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0df3984f_0,stable,0.31000802662164845,861.2909385612878,559.2673252011173,화장품,0.1,0.2,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0df3984f_1,stable,0.22755234654515283,654.7904002507504,429.22336946047454,화장품,0.1,0.2,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0ea22c1c_0,stable,0.3585411343878296,644.2816936686346,402.0430713764746,가방,0.1,0.12,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0ea22c1c_1,stable,0.34751991195923965,625.467059692652,448.97383116102816,가방,0.1,0.12,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0eaa7e33_0,stable,0.5310470754053153,165.43961589946542,72.87162477373217,아동·유아용품,0.1,0.15,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0eaa7e33_1,stable,0.5481638145566434,257.4854983343832,150.02322720398547,아동·유아용품,0.1,0.15,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0ebd97a1_0,stable,0.2644982787619333,432.2811714077305,344.0065488395575,가방,0.1,0.12,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0ebd97a1_1,stable,0.281220817513966,390.74905565715846,283.9214586681347,가방,0.1,0.12,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0ff83046_0,stable,0.48978230833247705,217.8579405910726,164.34910390430943,스포츠·레저용품,0.1,0.12,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_0ff83046_1,seasonal,0.5869713158134245,175.68823019265926,110.90908257204885,스포츠·레저용품,0.1,0.12,False,0.0,1.2000000000000002,가계비 충당 불가,False,0.0,1.2000000000000002,가계비 충당 불가
k_10076e57_0,stable,0.48280934603005154,210.42511480849168,162.06255821106353,아동·유아용품,0.1,0.15,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_10076e57_1,stable,0.5777618351306276,177.0675437665965,83.66964119202763,아동·유아용품,0.1,0.15,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_1025f0e2_0,growth,0.3509089755644932,7415.8616624562865,4737.69022363568,가구,0.1,0.1,True,11309.204368262226,1.1,,True,11309.204368262226,1.1,
k_1025f0e2_1,growth,0.29304576150876366,5087.208556458343,3026.639102323504,가구,0.1,0.1,True,5709.4006985132855,1.1,,True,5709.4006985132855,1.1,
k_11305281_0,other,0.5668142380913396,533.3000687177471,345.9963953690149,생활용품,0.1,0.1,False,0.0,1.1500000000000001,가계비 충당 불가,False,0.0,1.1500000000000001,가계비 충당 불가
k_11305281_1,stable,0.41815907278087366,749.6275006601121,401.8816008035486,생활용품,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_11bfa663_0,stable,0.2175708753653219,481.8165283743222,347.97930994200186,화장품,0.1,0.2,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_11bfa663_1,stable,0.19989504584656878,639.5938665018797,504.0231011449972,화장품,0.1,0.2,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_12863947_0,stable,0.3087942499899849,699.5136821427959,432.5115305946179,가전·전자,0.1,0.05,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_12863947_1,stable,0.19232301641120952,749.4115069784708,554.2388235128556,가전·전자,0.1,0.05,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_1336efc6_0,stable,0.2909355303563807,413.86751214633676,336.7271469182125,애완용품,0.1,0.12,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_1336efc6_1,stable,0.2309766219361276,419.7755681522238,324.22705516168895,애완용품,0.1,0.12,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_1354d516_0,stable,0.4684005920830186,364.999580903952,234.37963243437068,가구,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_1354d516_1,stable,0.4037327117131679,379.45866451124596,287.1074391414476,가구,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_13d058e4_0,stable,0.47057234160574196,503.8261170388968,236.17936742727528,가전·전자,0.1,0.05,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_13d058e4_1,stable,0.5569323586965323,356.4821222449339,144.7077593072085,가전·전자,0.1,0.05,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_1430239a_0,stable,0.5410679214613994,171.38227781222614,102.90278178142603,아동·유아용품,0.1,0.15,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_1430239a_1,stable,0.5109254738469529,170.8326521680754,91.7262497934627,아동·유아용품,0.1,0.15,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_1464afc7_0,stable,0.4632230453241537,188.98950902223459,127.76054788078292,화장품,0.1,0.2,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_1464afc7_1,stable,0.4043208646121799,179.09983507028036,124.6237521398294,화장품,0.1,0.2,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_14d79857_0,stable,0.4456365537180276,428.851008721736,269.00352303472005,스포츠·레저용품,0.1,0.12,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_14d79857_1,stable,0.4637929128256051,403.9862511779091,253.32892635374145,스포츠·레저용품,0.1,0.12,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_1554a685_0,growth,0.2522444628530186,1184.3103597845347,902.5654078980405,가구,0.1,0.1,False,0.0,1.1,가계비 충당 불가,False,0.0,1.1,가계비 충당 불가
k_1554a685_1,stable,0.27581887995488635,1208.8345367796942,915.4125878569278,가구,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_16090f2c_0,growth,0.4859513005525034,1826.6511800623591,1119.3567205388476,자동차 및 자동차용품,0.1,0.08,False,0.0,1.1,가계비 충당 불가,False,0.0,1.1,가계비 충당 불가
k_16090f2c_1,growth,0.24101474661486322,1661.9956094080328,1196.9015288041223,자동차 및 자동차용품,0.1,0.08,False,0.0,1.1,가계비 충당 불가,False,0.0,1.1,가계비 충당 불가
k_165fc07b_0,stable,0.6598957637250896,632.2384745664001,91.5875331844493,컴퓨터 및 주변기기,0.1,0.06,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_165fc07b_1,stable,0.7474782990340113,718.4030551842893,89.70550890599856,컴퓨터 및 주변기기,0.1,0.06,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_1660ad78_0,decline,0.5832516845360155,309.57898433375885,163.12941406656444,컴퓨터 및 주변기기,0.1,0.06,False,0.0,1.25,가계비 충당 불가,False,0.0,1.25,가계비 충당 불가
k_1660ad78_1,seasonal,0.5188292546462612,293.7205231612071,224.78195362499548,컴퓨터 및 주변기기,0.1,0.06,False,0.0,1.2000000000000002,가계비 충당 불가,False,0.0,1.2000000000000002,가계비 충당 불가
k_17306570_0,stable,0.41322177167382773,618.0747647595599,426.9521306855928,생활용품,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_17306570_1,stable,0.4337499685312473,654.9513416583746,372.2598762464151,생활용품,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_1771297a_0,decline,0.9646850522646344,307.5353110032188,116.50913572593062,아동·유아용품,0.1,0.15,False,0.0,1.25,가계비 충당 불가,False,0.0,1.25,가계비 충당 불가
k_1771297a_1,stable,0.6175513185624707,249.96071845107411,118.70037697115943,아동·유아용품,0.1,0.15,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_1782ce2d_0,stable,0.5888247173143895,344.9976456920954,134.59938593318327,스포츠·레저용품,0.1,0.12,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_1782ce2d_1,other,0.5293216266509508,247.5074340887636,189.38864000087912,스포츠·레저용품,0.1,0.12,False,0.0,1.1500000000000001,가계비 충당 불가,False,0.0,1.1500000000000001,가계비 충당 불가
k_17908cf9_0,stable,0.5168091077218554,317.57176967146086,193.30824390072544,자동차 및 자동차용품,0.1,0.08,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_17908cf9_1,stable,0.5826104760883889,266.73955917405175,133.16268193466985,자동차 및 자동차용품,0.1,0.08,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_17a053fc_0,stable,0.20860980053192307,2242.524198731665,1651.7409846550586,가구,0.1,0.1,True,1267.3405188173435,1.05,,True,1267.3405188173435,1.05,
k_17a053fc_1,growth,0.23213572175606362,2007.0695479908838,1445.8357504897997,가구,0.1,0.1,True,535.8624561484354,1.1,,True,535.8624561484354,1.1,
k_17ca9b9e_0,stable,0.23187580245543066,845.3982823336128,569.1469484829631,생활용품,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_17ca9b9e_1,stable,0.2929221565761748,1051.5582079690848,618.547714338844,생활용품,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_17e34d82_0,stable,0.45869762814123005,2358.579883219451,1170.562672942632,화장품,0.1,0.2,False,0.0,1.05,가계비 충당 불가,True,3630.9440430351897,1.05,
k_17e34d82_1,stable,0.43158297784641325,2557.077826835003,1307.482096504041,화장품,0.1,0.2,False,87.02433087099767,1.05,L_max < 100만,True,4569.820090313424,1.05,
k_17f51e71_0,stable,0.20017326983993017,1322.7707168987174,1026.0136214520494,화장품,0.1,0.2,False,0.0,1.05,가계비 충당 불가,True,2639.7505470997676,1.05,
k_17f51e71_1,stable,0.25638198588254474,1682.8095626230154,1160.4461969747542,화장품,0.1,0.2,False,0.0,1.05,가계비 충당 불가,True,3561.5739221126005,1.05,
k_1835b56c_0,stable,0.18472425281246255,2152.581460458902,1715.280558255358,생활용품,0.1,0.1,True,1485.1904854469424,1.05,,True,1485.1904854469424,1.05,
k_1835b56c_1,stable,0.1439572974471374,1795.3475675363982,1476.7820816387853,생활용품,0.1,0.1,True,667.4814227615495,1.05,,True,667.4814227615495,1.05,
k_1838dd9b_0,stable,0.30574107934763506,360.66302904960827,250.50997864665362,컴퓨터 및 주변기기,0.1,0.06,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_1838dd9b_1,stable,0.36907251652172135,348.168369967617,237.667631061995,컴퓨터 및 주변기기,0.1,0.06,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_184a67a8_0,seasonal,0.5720959119107261,75.33591775621774,45.173852348122686,가구,0.1,0.1,False,0.0,1.2000000000000002,가계비 충당 불가,False,0.0,1.2000000000000002,가계비 충당 불가
k_184a67a8_1,seasonal,0.5558936691015762,92.65911334208953,57.285335369801885,가구,0.1,0.1,False,0.0,1.2000000000000002,가계비 충당 불가,False,0.0,1.2000000000000002,가계비 충당 불가
k_18a349e7_0,stable,0.5055162987272827,1135.1445411593907,710.9758221193354,통신기기,0.1,0.05,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_18a349e7_1,stable,0.380539660403457,1359.2040984576915,1012.2337146553763,통신기기,0.1,0.05,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_1900267e_0,stable,0.15499675305035207,1728.6355593306905,1416.5290551432363,생활용품,0.1,0.1,True,460.8996176339529,1.05,,True,460.8996176339529,1.05,
k_1900267e_1,growth,0.22708517423108013,1384.1174044184745,1043.5324479625733,생활용품,0.1,0.1,False,0.0,1.1,가계비 충당 불가,False,0.0,1.1,가계비 충당 불가
k_1a3df491_0,stable,0.39915882830977917,1160.8863565621944,702.6757546312189,생활용품,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_1a3df491_1,stable,0.3009254129370941,1118.4820965731185,819.7848357190221,생활용품,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_1b4c3a6f_0,stable,0.31865199576077724,938.7140171471864,568.5718951858776,생활용품,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
k_1b4c3a6f_1,stable,0.5387418439178823,1432.3253898234216,692.1189273150894,생활용품,0.1,0.1,False,0.0,1.05,가계비 충당 불가,False,0.0,1.05,가계비 충당 불가
